,일,채널,채널분류,캠페인,캠페인목적,그룹,소재,노출,클릭,비용,회원가입,구매,구매매출,회원가입,구매
45658구글GGL_CMP_03_첫구매논타겟IMG_적립혜택_겨울_B_v1,2025.1.1,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,IMG_적립혜택_겨울_B_v1,79578,2036,486459,186,50,2910286,168,43
45658구글GGL_CMP_03_첫구매논타겟CRS_할인쿠폰_겨울_v1,2025.1.1,구글,외부,GGL_CMP_03_첫구매,첫구매,논타겟,CRS_할인쿠폰_겨울_v1,60809,1116,385020,127,37,2334744,110,31
45658구글GGL_CMP_03_첫구매유사타겟VID_적립혜택_겨울_A_v1,2025.1.1,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,VID_적립혜택_겨울_A_v1,67730,1743,337507,191,71,3891289,164,51
45658구글GGL_CMP_03_첫구매유사타겟IMG_적립혜택_겨울_B_v1,2025.1.1,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,89174,2429,478313,220,66,3643008,182,48
45658구글GGL_CMP_03_첫구매유사타겟CRS_할인쿠폰_겨울_v1,2025.1.1,구글,외부,GGL_CMP_03_첫구매,첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,51053,1376,250347,153,72,3639127,129,52
45658메타META_CMP_01_신규유저논타겟VID_플러스멤버십_겨울_A_v1,2025.1.1,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,66218,1118,275075,91,24,979712,72,18
45658메타META_CMP_01_신규유저논타겟IMG_적립혜택_겨울_B_v1,2025.1.1,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,IMG_적립혜택_겨울_B_v1,59715,1068,299375,56,11,486377,42,7
45658메타META_CMP_01_신규유저논타겟CRS_플러스멤버십_겨울_v1,2025.1.1,메타,외부,META_CMP_01_신규유저,신규유저,논타겟,CRS_플러스멤버십_겨울_v1,50039,702,189131,61,13,729543,43,11
45658메타META_CMP_02_룩얼라이크유사타겟VID_플러스멤버십_겨울_A_v1,2025.1.1,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,67273,1520,321956,93,23,1001188,66,17
45658메타META_CMP_02_룩얼라이크유사타겟IMG_할인쿠폰_겨울_B_v1,2025.1.1,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,45103,950,186023,69,21,1308093,59,14
45658메타META_CMP_02_룩얼라이크유사타겟CRS_특가_겨울_v1,2025.1.1,메타,외부,META_CMP_02_룩얼라이크,룩얼라이크,유사타겟,CRS_특가_겨울_v1,67264,1268,287277,112,20,1048405,99,14
45658메타META_CMP_03_재구매VIPIMG_배송혜택_겨울_A_v1,2025.1.1,메타,외부,META_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,11782,223,51366,13,5,288940,9,4
45658메타META_CMP_03_재구매VIPVID_적립혜택_겨울_B_v1,2025.1.1,메타,외부,META_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,14986,368,63515,25,10,778240,19,8
45658메타META_CMP_03_재구매VIPCRS_신상품_겨울_v1,2025.1.1,메타,외부,META_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,14012,377,48788,20,12,1046746,14,8
45658메타META_CMP_03_재구매윈백IMG_배송혜택_겨울_A_v1,2025.1.1,메타,외부,META_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,32248,926,128373,41,24,1857574,37,19
45658메타META_CMP_03_재구매윈백VID_적립혜택_겨울_B_v1,2025.1.1,메타,외부,META_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,31244,643,139801,45,17,979852,36,12
45658메타META_CMP_03_재구매윈백CRS_신상품_겨울_v1,2025.1.1,메타,외부,META_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,29677,570,131336,27,13,1094330,19,10
45658네이버NVR_CMP_01_브랜드KW논타겟TXT_플러스멤버십_겨울_A_v1,2025.1.1,네이버,자체,NVR_CMP_01_브랜드KW,브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,7898,1239,66649,254,152,11152589,#N/A,#N/A
45658네이버NVR_CMP_02_일반KW논타겟TXT_할인쿠폰_겨울_A_v1,2025.1.1,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,19567,1628,177486,266,80,4284064,#N/A,#N/A
45658네이버NVR_CMP_02_일반KW논타겟TXT_플러스멤버십_겨울_B_v1,2025.1.1,네이버,자체,NVR_CMP_02_일반KW,일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,19519,1306,140507,155,69,5313564,#N/A,#N/A
45658네이버NVR_CMP_03_재구매VIPIMG_배송혜택_겨울_A_v1,2025.1.1,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,IMG_배송혜택_겨울_A_v1,8226,618,73989,72,36,3650648,#N/A,#N/A
45658네이버NVR_CMP_03_재구매VIPVID_적립혜택_겨울_B_v1,2025.1.1,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,VID_적립혜택_겨울_B_v1,8008,402,71428,29,24,2560870,#N/A,#N/A
45658네이버NVR_CMP_03_재구매VIPCRS_신상품_겨울_v1,2025.1.1,네이버,자체,NVR_CMP_03_재구매,재구매,VIP,CRS_신상품_겨울_v1,7946,388,51456,30,18,1925152,#N/A,#N/A
45658네이버NVR_CMP_03_재구매윈백IMG_배송혜택_겨울_A_v1,2025.1.1,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,IMG_배송혜택_겨울_A_v1,14497,866,136352,63,56,4322631,#N/A,#N/A
45658네이버NVR_CMP_03_재구매윈백VID_적립혜택_겨울_B_v1,2025.1.1,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,VID_적립혜택_겨울_B_v1,12792,664,106684,64,41,3873020,#N/A,#N/A
45658네이버NVR_CMP_03_재구매윈백CRS_신상품_겨울_v1,2025.1.1,네이버,자체,NVR_CMP_03_재구매,재구매,윈백,CRS_신상품_겨울_v1,11509,761,100983,80,51,3696320,#N/A,#N/A
